RUBRO,NOMBRE FANTASIA,DIRECCION,N§,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABIT.,PLAZAS,TITULAR,E-MAIL
ALOJAMIENTO,BOSQUE DIVINO,RUTA 173,KM.36,EL NIHUIL,SAN RAFAEL,,CABA¥AS,4 ESTRELLAS,INSCRIPTO,,,"SOTOMAYOR, MARTHA ILEANA",marthasanrafael@gmail.com
CAMPING,EL NIHUIL,DIQUE EL NIHUIL,S/N,EL NIHUIL,SAN RAFAEL,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,"BERLANGA,FEDERICO ANTONIO",
HOSPEDAJE,REX,H.YRIGOYEN,56,CIUDAD,SAN RAFAEL,0260-4422177,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,22,62,"MORNADI, ERNESTO RAéL",hotelrex@speedy.com.ar
ALOJAMIENTO,CUMELEN,AV.DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,4814543,CABA¥AS,1 ESTRELLA,INSCRIPTO,2,12,CABA¥AS CUMELEN S.A.,cumelenmendoza@gmail.com
HOSPEDAJE,GALICIA,AV.SAN JUAN,881,CIUDAD,CAPITAL,42O2619,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,15,42,"PEREZ, MARIO ANTONIO",hotelgalicia@yahoo.com.ar
HOSPEDAJE,LA ESPERANZA,AVELLANEDA,263,CIUDAD,SAN RAFAEL,0260-4427978,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,15,60,"ESCUDERO, WALTER",laesperanzahousing@sanrafael-tour.com
HOSPEDAJE,EL TURISTA,CHILE,643,CIUDAD,SAN RAFAEL,0260-4427061,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,13,32,"LARA, CRISTOBAL",www.hosteriaelturista.com.ar
HOSPEDAJE,CERRO NEVADO,H.YRIGOYEN,376,CIUDAD,SAN RAFAEL,0260-4428209,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,25,60,"PERRUZZI, MABEL SANCHEZ",hcnevado@slatinos.com.ar
ALOJAMIENTO,MARIAN,GUTIERREZ,2390,RAMA CAIDA,SAN RAFAEL,0260-444140,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6,"VILLEGAS, ANDRES SIGISFREDO",andresvillegas41@hotmail.com
APART-HOTEL,QUINTA & SUITES,RODRIGUEZ,737,CIUDAD,CAPITAL,4236894,APART-HOTEL,1 ESTRELLA,INSCRIPTO,6,24,TOBAT S.A.,info@quintasuites.com.ar
ALOJAMIENTO,HOTEL PETIT,PERU11459,,CIUDAD,CAPITAL,4232099,ALOJAMIENTO,SIN CATEGORIZAR,E/T,18,47,JADEM S.A.,reservaspetit@hotmail.com
CAMPING,MUNICIPAL DE LA PAZ,AV.25 DE MAYO Y RUTA PRV.50,,CIUDAD,LA PAZ,02626-421100/101,CAMPING,SIN CATEGORIZAR,E/T,,,MUNICIPALIDAD DE LA PAZ,municipalidaddelapaz@yahoo.com.ar
CABA¥AS,RUCALEN,LOS CIPRESES,776,CIUDAD,MALARGUE,0260-4470248,CABA¥AS,SIN CATEGORIZAR,E/T,6,30,"QUINTEROS, LAURA SUYAI",rucalen@hotnail.com
HOTEL,RIOMA,FRAY INALICAN,127,CIUDAD,MALARGUE,0260-4471065,HOTEL,1 ESTRELLA,INSCRIPTO,12,28,"GONZALEZ, FLORIDOR",contacto@hotelrioma.com.ar
CABA¥AS,INALEN,ESPINOLA,511,CIUDAD,SAN RAFAEL,0260-4422874,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,8,60,"RUIZ, JUAN MARCOS",
HOTEL,TURISMO MALARGUE,SAN MARTIN,224,CIUDAD,MALARGUE,0260-4471042/4471742,HOTEL,2 ESTRELLAS,INSCRIPTO,18,60,DANIEL SAUMA Y LETICIA E. CAMMI,hotel_turismo_malargue@yahoo.com.ar
CABA¥AS,RINCON DE LOS ANDES,AV.DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481101,CABA¥AS,1 ESTRELLA,INSCRIPTO,5,30,"PEREYRA, PABLO LEONARDO ARIEL",rincondelosandes@yahoo.com.ar
HOSPEDAJE,LAHUENCO I,RUTA 222,KM.30,LOS MOLLES,MALARGUE,0260-4499700,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,48,124,SUCESIàN VÖCTOR GARCÖA,www.hotellahuenco.com
PAT,HELVETIA,RUTA PANAMERICANA,KM30,A.CONDARCO,LUJAN DE CUYO,4894000,PAT,PAT,INSCRIPTO,6,16,"RIZZARDI, DIEGO DANIEL",
HOTEL,REGIONAL,MITRE,40,CIUDAD,SAN RAFAEL,0260-4429938,HOTEL,1 ESTRELLA,INSCRIPTO,8,16,"DOMINGUEZ, JUAN",www.hotel-regonal.com.ar
HOSPEDAJE,MALLORCA,AV.JULIO A. ROCA,719,CIUDAD,CAPITAL,4233079,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,12,28,"ALECHA, JOS",alecha@infovia.com.ar
ALOJAMIENTO,KOOCOLAND,SALVADOR MIRANDA,290,CIUDAD,TUPUNGATO,011-1550293464,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,8,"BURDET, BERENICE",bereburdet@gmail.com
HOTEL,HOSTAL DEL SOL,SAN MARTIN,651,CIUDAD,TUNUYAN,02622-424396,HOTEL,2 ESTRELLAS,INSCRIPTO,20,60,"SANCER, DIEGO FABIµN",info@hostaldelsoltunuyan.com.ar
HOSPEDAJE,ALICIA,ALEM,433,CIUDAD,CAPITAL,4237799,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,12,35,"FERRER, SEBASTIAN Y CARLOS",
CABA¥AS,BRISAS DEL ATUEL,IRIGOYEN,237,CIUDAD,SAN RAFAEL,0260-4423093-154586097,CABA¥AS,1 ESTRELLA,INSCRIPTO,5,20,"NAVARRO, FRANCISCO ALBERTO",
CAMPING,SUIZO,AV.CHAMPAGNAT,S/N,EL CHALLAO,LAS HERAS,4441991/4443906,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,"PALERO, RUBEN",
APART-HOTEL,LOS REYUNOS,CALLE CLUB LOS REYUNOS,S/N,25 DE MAYO,SAN RAFAEL,0260-154403103,APART-HOTEL,1 ESTRELLA,INSCRIPTO,6,22,"DRAGHI, RODOLFO",info@losreyunos.net
ALOJAMIENTO,EL CISNE,GRAL.VILLEGAS,190,CIUDAD,MALARGUE,0260-4471350,ALOJAMIENTO,SIN CATEGORIZAR,E/T,27,55,AROMAS DEL SUR S.R.L.,hotelcisne03@hotmail.com
HOTEL,REGINE,INDEPENDENCIA,623,CIUDAD,SAN RAFAEL,0260-4421470/4430274,HOTEL,2 ESTRELLAS,INSCRIPTO,33,80,"SESMA, VICTORIO RODOLFO",regine@infovia.com.ar
ALOJAMIENTO,SOLARES DE MERCEDITAS,AV.LAS HERAS,212,CIUDAD,CAPITAL,261-4380218,ALOJAMIENTO,SIN CATEGORIZAR,E/T,28,68,"ZALAZAR, GUSTAVO RUBEN",
ALOJAMIENTO,VI¥A MARIA-BODEGA CAVAGNARO,MPNTECASEROS,2659,COQUIMBITO,MAIPU,4972337,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"CAVAGNARO, JULIAN",juliancavagnaro@gmail.com
HOTEL,PEHUEN,RUIBAL,118,CIUDAD,MALARGUE,0260-154689059,HOTEL,1 ESTRELLA,E/T,11,32,"YACOPINI, LUCIA",hotelpehuen@terra.com.ar
ALOJAMIENTO,LA ALHAMBRA,SARMIENTO,55,CIUDAD,GRAL.ALVEAR,02625-422732,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MARTINEZ, MARIA DE LA PASION",hevamoises@hotmail.com
ALOJAMIENTO,HUALUM,RUTA 222,Km.30,LOS MOLLES,MALARGUE,4251120,ALOJAMIENTO,SIN CATEGORIZAR,E/T,30,94,DAA S.A.,Direcci¢n en Mza.Espa¤a1340-P.14-Of.8 - info@hotelhualum.co.ar
ALOJAMIENTO,RACATAHUEN CABA¥AS,AV.DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,4983248,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,13,"TIETI, OSCAR RODOLFO",rucatahuen@hotmail.com
ALOJAMIENTO,CONFLUENCIA,AV.ESPA¥A,1512,CIUDAD,CAPITAL,4290430,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,,,"SANCHEZ FERREYRA, PAMELA",info@hostelconfluencia.com.ar
PAT,LOS ANDES,BANDERA DE LOS ANDES,461,SAN JOSE,GUAYMALLEN,4319751,PAT,PAT,INSCRIPTO,8,40,"CRUZ, RAUL HUMBERTO",hostaldelosandes@yahoo.com.ar
CABA¥AS,DEL PASTIZAL,RUTA 7,KM.1146,USPALLATA,LAS HERAS,4201020,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,36,"PEREZ, ENRIQUE ALFREDO",info@pastizal.com.ar
HOSTERIA,EL SOSNEADO,"RUTA 144, EL SOSNEADO",S/N,EL SOSNEADO,SAN RAFAEL,0260-154586098,HOSTERIA,SIN CATEGORIZAR,,,,"ORTIZ, MIGUEL",
HOTEL,TOWER INN & SUITES,AV.HIPOLITO YRIGOYEN,774,CIUDAD,SAN RAFAEL,0260-4427190,HOTEL,4 ESTRELLAS,INSCRIPTO,96,200,HOTELERA EMPRENDER S.A.,reservas@towersanrafael.com
REFUGIO,CRUZ DE CA¥A,RUTA 7,S/N,LOS PENITENTES,LAS HERAS,,REFUGIO,REFUGIO,INSCRIPTO,,,"PEDERNERA, ELEONOR",
CABA¥AS,CA¥ON DEL ATUEL,RUTA PROV.175,S/N,CA¥ON DEL ATUEL,SAN RAFAEL,0260-4426394/154670534,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,16,50,"CONDORI, FRANKLIN RUBEN",
HOTEL,PATRICIOS,PATRICIOS,421,CIUDAD,LUJAN DE CUYO,4980060,HOTEL,1 ESTRELLA,INSCRIPTO,14,38,HOTEL PATRICIOS S.A.,www.hotelpatricios.com.ar
HOTEL,VENUS I,PERU,1155,CIUDAD,CAPITAL,4254147,HOTEL,2 ESTRELLAS,INSCRIPTO,27,70,"LOPEZ, CARLOS",info@granhotelvenus.com
HOSPEDAJE,FORLY,CNEL.PLAZA,515,CIUDAD,CAPITAL,4234651,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,10,17,"MICELI, CARMELA GIANNI DE",
HOSPEDAJE,EMBAJADOR,AV.JUAN B.JUSTO,365,CIUDAD,CAPITAL,4259129/4255783,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,18,60,"YACOPINI, LUCÖA",hotelembajador@supernet.com.ar
CAMPING,SAUCELANDIA,TIRASSO,S/N,EL SAUCE,GUAYMALLEN,4511409,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"ARANITI, MARIO Y EMILIO",
CABA¥AS,RIO AZUL,RUTA 173,KM 33,VALLE GRANDE,SAN RAFAEL,0260-4423663,CABA¥AS,2 ESTRELLAS,INSCRIPTO,20,60,"FORMIDABILI, JOSE RUBEN",
CAMPING,CLUB DE PESCADORES,RUTA 173 (CAMPING)-BUENOS AIRES 172 - SEDE SOCIAL,S/N,EL NIHUIL,SAN RAFAEL,0260-4426087,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,CLUB DE PESCADORES DE SAN RAFAEL,clubdepescadores@infovia.com.ar
HOSPEDAJE,BED & BREAKFAST PLAZA ITALIA,MONTEVIDEO,685,CIUDAD,CAPITAL,4234219,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,3,11,"VIOTTI, MERCEDES ANGELICIA",mechitito@yahoo.com.ar
CABA¥AS,DEL SOL,RUTA PROV.173,KM25,VALLE GRANDE,SAN RAFAEL,0260-4428999,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,18,45,"SOTELO, JULIO C. Y JUAN M. INGRAND",
HOSPEDAJE,PEQUE¥A VILLA SAN JORGE,ALTOS MANANTIALES,S/N,POTRERILLOS,LUJAN DE CUYO,02624-483039,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,7,36,"MACCARI, EDUARDO LUIS",emaccari@villasanjorge.com
ALOJAMIENTO,ROYAL HORCONES,AV.LAS HERAS,145,CIUDAD,CAPITAL,4250045,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,CHANDAL S.R.L.,info@hotelhorcones.com
HOSPEDAJE,INTIS,CORRIENTES,35,CIUDAD,SAN RAFAEL,0260-4433423,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,11,30,"ALCALDE, WALTER JAVIER",
CAMPING,EL SAUCE,CAMINO A VALLE GRANDE,KN.35,VALLE GRANDE,SAN RAFAEL,0260-4427064,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"BRITOS, OSVALDO A.",
HOSTEL,HUAR HOSTEL,DR.BRANDI,47,CIUDAD,MAIPU,4975501,HOSTEL,HOSTEL,INSCRIPTO,3,10,"PELAYES, EDIT",huarhostel@hotmail.com
APART-HOTEL,PEUMAHUE,DORREGO,93,DORREGO,GUAYMALLEN,4312987/4321955,APART-HOTEL,3 ESTRELLAS,INSCRIPTO,42,135,CAUCO S.A.,reservas@maue.com.ar
CAMPING,VALLE GRANDE-(SEDE SOCIAL BUENOS AIRES 172),RUTA N§ 173 (CLUB PESCADORES DE S.RAFAEL),S/N,EL NIHUIL,SAN RAFAEL,0260-4426087,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"ULLOA, A. SANTIAGO-PTE CLUB DE PESCADORES DE SAN RAFAEL-",
HOSPEDAJE,YAPEYU,YAPEYU,221,CIUDAD,CAPITAL,4315183,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,14,28,YAPEYU S.R.L.,danilobreeo@gmail.com
CABA¥AS,PORTAL DEL LAGO,RUTA 16 Y PINCOLINI CARRIZAL DE ABAJO,S/N,,LUJAN DE CUYO,156518226,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,12,30,B.D.A.SA,
HOSPEDAJE,EL NEVADO,ALBERDI Y GUEMES,301,SAN JOSE,GUAYMALLEN,4313121,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,13,31,"BARDEIRA, ROBERTO V.",hotelnevado@speedy.com.ar
ALOJAMIENTO,GEMAS,ING.BALLOFET,2512,CIUDAD,SAN RAFAEL,0260-4424606-15455993,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,11,"NAVARRO, ANA MARIA",
ALOJAMIENTO,CABA¥AS AGATA,RUTA 173,"KM.22,5",VALLE GRANDE,SAN RAFAEL,0260-154668293,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,50,"FORNES, SILVIA ESTHER",agatacabanavallegrande@gmail.com
CAMPING,RAYUELA,RUTA PROV.173,S/N,VALLE GRANDE,SAN RAFAEL,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"SANCHEZ, LILIANA",campingrayuela@hotmail.com
CAMPING,LOS REYUNOS,GODOY CRUZ 484- SEDE SOCIAL-LOS REYUNOS,S/N,25 DE MAYO,SAN RAFAEL,0260-4428313,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"CLUB DE PESCA Y NµUTICA "" LOS REYUNOS""",info@losreyunos.net
CAMPING,LOS PUQUIOS,RUTA 7,S/N,PUENTE DEL INCA,LAS HERAS,4317003,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"PARRA, LUIS ALBERTO",rudi@arnet.com.ar
ALOJAMIENTO,REINA VICTORIA,AV.SAN JUAN,1127,CIUDAD,CAPITAL,4259800,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,80,RESGUARDOS CUYANOS S.A.,gerenicia@gardenhotelesmendoza.com
CAMPING,CLUB BCO.NACION-(SEDE SOCIAL H.IRIGOYEN 113,SARDI,S/N,EL CERRITO,SAN RAFAEL,0260-4434888,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,MUTUAL SOCIAL - ROLANDO BUSIN,
CAMPING,LOS ALAMOS,PUBLICA,S/N,CAPIZ BAJO,SAN CARLOS,02622-423660/15441488,CAMPING,SIN CATEGORIZAR,INSCRIPTO,25,42,"BADÖA, ESTHER LUCÖA",
HOSTEL,VERIS TEMPUS,TIRASSO,2170,BUENA NUEVA,GUAYMALLEN,4263300,HOSTEL,HOSTEL,INSCRIPTO,24,150,VERIS TEMPUS S.R.L.,veristempus@gml.com.ar
CAMPING,CENTRO E.DE COMERCIO,EL SAUCE,S/N,BUEN ORDEN,SAN MARTIN,0263-4420116-4420152,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"PERALTA, MIGUEL ANGEL RAMàN - EN CARµCTER DE SEC ACC. SOCIAL",cecsmmza@sanmartinmza.com.ar
ALOJAMIENTO,EL MONTA¥ES,RUTA 7,KM.1148,USPALLATA,LAS HERAS,262-4420105,ALOJAMIENTO,SIN CATEGORIZAR,E/T,30,85,FELUNA S.A.,hotelmontanez@hotmail.com
ALOJAMIENTO,HOSTERIA TERMAS DEL CHALLAO I,CIRCUITO TURÖSTICO EL CHALLAO,S/N,EL CHALLAO,LAS HERAS,4447400/01,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BERLANGA, MIGUEL ANGEL",hoteltermaschallao@gmail.com
DISPONIBLE,DISPONIBLE,,,,,,,,,,,,
CAMPING,EL PARADOR,ISLA RIO DIAMANTE- PARQUE MARIANO MORENO-,S/N,ISLA RIO DIAMANTE,SAN RAFAEL,0260-4420492,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"SOTO, ALDO JESUS",complejoelparador@infovia.com.ar
ALOJAMIENTO,ALBERGUE DEP.MUNICIP.,EL PINO,1395,CIUDAD,SAN RAFAEL,0260-4427983-4425568,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,12,104,MUNICIPALIDAD DE SAN RAFAEL,rcesak@hotmail.com.ar
ALOJAMIENTO,CASA ANTUCURA,BARANDICA,S/N,VISTA FLORES,TUNUYAN,153391440,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,15,CAVIAR BLEU S.A.,annecb@antucura.com
PAT,DESPERTAR DE HORNEROS,RUTA 36,2086,TRES DE MAYO,LAVALLE,156099214,PAT,PAT,INSCRIPTO,2,14,"FERNANDEZ, MARIA AMADA",despertardehorneros@hotmail.com
REFUGIO,LA VIEJA ESTACION,RUTA 7,S/N,PUENTE DEL INCA,LAS HERAS,4521103/155631664,REFUGIO,REFUGIO,INSCRIPTO,3,24,"CORTIZO, SLVANA PAREDES DE",refugioinca@yahoo.com.ar
APART-HOTEL,DELPHOS,VALLE LAS LE¥AS,S/N,LAS LE¥AS,MALARGUE,011-43938031,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,34,140,"SCHETTINI, JUAN JORGE (H)",
HOSPEDAJE,SOL INN,ACC. ESTE Y A. VILLANUEVA - LADO NORTE,400,SAN JOSE,GUAYMALLEN,4314835/4321885,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,11,28,"MARTINEZ, RAQUEL ROSA",laurita_noa@hotmail.com
HOTEL,EL CIRCULO HOTEL,9 DE JULIO,1935,CIUDAD,CAPITAL,4230683/4380574,HOTEL,3 ESTRELLAS,INSCRIPTO,35,76,CIRCULO DE SUBOFICIALES FUERZA AEREA ARGENTINA ASOC. MUTUAL,csfamdza@infovia.com.ar
ALOJAMIENTO,LA POSADA DEL ZORZAL,LOS ZORZALES,S/N,POTRERILLOS,LUJAN DE CUYO,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,22,"UZARRALDE, LILIANA BEATRIZ",
APART-HOTEL,MILENIUM,CNEL.DAY,20,CIUDAD,SAN RAFAEL,0260-4433034,APART-HOTEL,1 ESTRELLA,INSCRIPTO,12,39,SEJONAS S.R.L,mileniumhotel@infovia.com.ar www.apartmilenium.com.ar
ALOJAMIENTO,DE MIL AMORES,ADOLFO CALLE,2778,EL CERRITO,SAN RAFAEL,011-39678421,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,10,"EUGENIO, MARCELO NORBERTO",gerencia@demilamores.com.ar
ALOJAMIENTO,CABA¥AS AICANAY,SAN ISIDRO,2850,LAS PAREDES,SAN RAFAEL,02627-15597848,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,8,"BASSANESE, GRACIELA YUDIT",cabanasaicanay@hotmail.com
ALOJAMIENTO,HOSTEL ADOLFO CALLE,ADOLFO CALLE,2780,DORREGO,GUAYMALLEN,4316456,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18,"CERDA, PEDRO EDUARDO",
CABA¥AS,PACARI TAMPU,LAS DELICIAS,S/N,EL CHALLAO,LAS HERAS,4444693,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,52,"BERLANGA, FEDERICO ANTONIO",info@pacaritampu.com.ar
HOTEL,UNIVERSAL,RIOJA,2032,CIUDAD,CAPITAL,4256372,HOTEL,1 ESTRELLA,INSCRIPTO,13,42,"MARTÖN, MARTA NORMA",
CABA¥AS,RINCON DEL VALLE,RUTA PROV.173,KM25,VALLE GRANDE,SAN RAFAEL,0260-4429722/154531842,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,44,"AMORUSO, LUCRECIA",rincondelvalle@infovia.com.ar
CABA¥AS,AMANECER,VILLA DEL MILAGRO,292,CIUDAD,MALARGUE,0260-4471658/154584494,CABA¥AS,1 ESTRELLA,INSCRIPTO,4,12,"ZU¥IGA DE BASTIAN, SILVIA HAYDEE",alojate@amanecercab.com.ar
CAMPING,A.T.S.A.,ARROYO SECO Y CHAMPNAT,S/N,EL CHALLAO,LAS HERAS,4444809-4442167,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,A.T.S.A. ( FERNANDO D. FERREIRA),
CABA¥AS,EL CHALLAO,LAS DELICIAS,70,EL CHALLAO,LAS HERAS,4447056,CABA¥AS,1 ESTRELLA,INSCRIPTO,14,74,"CEJUDO, MARIO RODOLFO DAVID",elchallao@gmail.com
ALOJAMIENTO,COMPLEJO TURISTICO ALFOMBRA MAGIKA,AV.CHAMPAGNAT,3162,EL CHALLAO,LAS HERAS,4440537,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GONZALEZ, NOELIA LORENA",www.alfombramagika.com
CAMPING,A.P.E.R.B.U.C.I.,AVELINO MAURE,746,BERMEJO,GUAYMALLEN,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,A.P.E.R.B.U.C.I (NESTOR CEJAS),
CAMPING,CARMEN,RUTA PCIAL.173,KM25,RAMA CAIDA,SAN RAFAEL,0260-4441078,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"ROLNY, ARIEL EMILIO",sheveley@hotmail.com
HOTEL,BARI,ALBERDI,89,DORREGO,GUAYMALLEN,4315518/ 4324362,HOTEL,1 ESTRELLA,INSCRIPTO,12,30,"CALABRETTO, JOSE",rosanabari@yahoo.com.ar
HOTEL,PROVIDENCIA,BANDERA DE LOS ANDES,535,SAN JOSE,GUAYMALLEN,4312821-4311707,HOTEL,2 ESTRELLAS,INSCRIPTO,31,93,ASOC. COLONIA DE VACACIONES PERSONAL BCO PCIA DE BS AS.,hotelprovidencia@lacoloniabp.com.ar
ALOJAMIENTO,ANTONIETA HOSTEL,DAY,244,CIUDAD,CAPITAL,4421170,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,26,"GENOVESE, MARIA ANGELICA",antonietahostel@gmail.com
ALOJAMIENTO,ALLAVUM,GRAL.VILLEGAS,1002,CIUDAD,MALARGUE,0260-42471713,CABA¥AS,1 ESTRELLA,INSCRIPTO,4,22,"MORALES, CELMIRA",cabanasallavun@hotmail.com
HOSPEDAJE,LA POSADA DEL VALLE,RUTA 7,"KM145,9",USPALLATA,LAS HERAS,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,20,40,INSIGNIA S.A.,
CABA¥AS,SUMAMPA,RUTA PROV. 82,KM30,POTRERILLOS,LAS HERAS,4228046/156541011,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,4,20,"PALERMO, MIGUEL ERNESTO",mendoza@cabanasumampa.com.ar - cabanasumampa@yahoo.com.ar
CABA¥AS,SOLITUDINE,PANAMERICANA,KM23,LAS COMPUERTAS,LUJAN DE CUYO,4282331/4901059,CABA¥AS,2 ESTRELLAS,INSCRIPTO,8,48,CABA¥AS S.R.L.,solitudinemza@yahoo.com.ar
CABA¥AS,CABA¥AS ANDINAS,AV.DEL PLATA Y LOS CONDORES,S/N,POTRERILLOS,LUJAN DE CUYO,02624-483120,CABA¥AS,1 ESTRELLA,INSCRIPTO,12,30,CUMBRES ANDINAS SRL,info@cabanasandinas.com
CAMPING,CLUB DE PESCA DEPORTIVOS GRAL. SAN MARTIN,PASAJE SAN MARTIN LOCAL A Y B SUBSUELO,,EL CARRIZAL,LUJAN DE CUYO,4290374,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"DEVITA,JUAN",www.clubpescasanmartin.com
ALOJAMIENTO,VALLES DEL PLATA,ING.FRANCISCO GUI¥AZU,S/N,POTRERILLOS,LUJAN DE CUYO,02622-488810-4236569,CENTRO DE ESQUI,CTRO.ESQUI,INSCRIPTO,,,"GERAS, ALEJANDRO",valledelplata@yahoo.com - geras@arlink.net.ar - Per£ 1523 Cdad.
ALOJAMIENTO,SIETE SURCOS,RUTA 144,KM.669,CUADRO BENEGAS,SAN RAFAEL,0260-4512777,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,12,"GENDE, GABRIEL JUAN PABLO",sietesurcos@hotmail.com
ALOJAMIENTO,VILLA LORETO,RUTA PROV.89,,MANZANO HISTORICO,TUNUYAN,02622-423261/422221/15670763,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,24,"SANCER PE¥A, JOSE",villaloreto@valledeuco.com
CABA¥AS,COCO,RUTA PANAMERICANA 82,KM29,COLONIA SUIZA,LUJAN DE CUYO,154704113-4106685,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,6,25,"COCO, JUAN ORLANDO",www.gosities.cabanascoco.com
HOTEL,CIUDAD,ENTRE RIOS,96,CIUDAD,SAN RAFAEL,0260-4430886,HOTEL,1 ESTRELLA,INSCRIPTO,16,42,"BERTOLONE PUEBLA, AMERICO SEBASTIAN",
HOSPEDAJE,RIVADAVIA HOTEL,LAVALLE,723,CIUDAD,RIVADAVIA,02623-444152,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,12,50,"PINISSI, LUIS OSCAR JUAN",rivadaviahotel@hotmail.com
HOTEL,GRAN HOTEL MENDOZA,AV.ESPA¥A,1210,CIUDAD,CAPITAL,4252000/2245,HOTEL,3 ESTRELLAS,INSCRIPTO,80,200,INVERSIONES MAIPO S.A.,gerencia@hotelmendoza.com - www.hotelmendoza.com
HOTEL,KAPAC,PERU,1458,CIUDAD,CAPITAL,4250682,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,57,"FRANCO, SILVIA ELIANA",reservaskapac@hotmail.com
CABA¥AS,LOS ARREBOLES,CALLE PUBLICA,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481103,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,5,30,"DI CARA, LUIS GUSTAVO",info@losarreboles.com.ar
ALOJAMIENTO,EBEN EZER,J.B.ALBERDI,580,SAN JOSE,GUAYMALLEN,4312635,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,40,SOCIEDAD DE HECHO WANAG WANAG,hotelebenezer@yahoo.com.ar
HOSPEDAJE,BARCELONA,AV.LIBERTADOR NORTE,465,CIUDAD,GRAL.ALVEAR,02625-425439,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,22,"ORTEGA, MARIA DOLORES- ORTEGA, FRANCISCA",
